@relation 'pg_711-weka.filters.unsupervised.attribute.Remove-R1-5,9-11'

@attribute District {'Sheung Shui','Sheung Wan',Central,'Kowloon City','Kowloon Tong','Kowloon Bay',Jordan,Homantin,'Yuen Long','North Point',Mid-Level,Southern,'To Kwa Wan','Tai Wai','Tai Po',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Tseung Kwan O','Siu Sai Wan','Tsim Sha Tsui','Tsim Sha Tsui East','Tuen Mun','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Airport,Shatin,'Yau Tong',Yaumatei,'Sham Shui Po','Wan Chai','Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping','Shau Kei Wan',Fanling,'Hung Hom','Lo Wu','Mei Foo','Tsuen Wan','Lai Chi Kok','Lok Ma Chau','Kwai Chung','Lam Tin','Sai Wan Ho',Western,'Sai Kung','Kwun Tong','Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Cheung Sha Wan','Cheung Chau','Tsing Yi',Aberdeen,'Ma On Shan','Quarry Bay','Ap Lei Chau','Wong Tai Sin'}
@attribute Lat numeric
@attribute Long numeric

@data
Shatin,22.397364,114.193484
Shatin,22.386577,114.203637
Shatin,22.379394,114.186832
Shatin,22.382989,114.190639
Shatin,22.382545,114.190489
Shatin,22.376924,114.194647
Shatin,22.376793,114.194719
Shatin,22.382579,114.18745
Shatin,22.382559,114.187099
Shatin,22.374648,114.185978
'Yau Tong',22.298031,114.23687
Yaumatei,22.307226,114.170252
Yaumatei,22.306734,114.169445
Yaumatei,22.307352,114.170828
Yaumatei,22.308409,114.170619
Yaumatei,22.311422,114.170763
Yaumatei,22.310897,114.168911
Yaumatei,22.31392,114.169987
Yaumatei,22.313894,114.171065
Yaumatei,22.312807,114.169168
Yaumatei,22.310828,114.171315
Yaumatei,22.312852,114.165254
Yaumatei,22.304364,114.161564
Yaumatei,22.305227,114.161028
Yaumatei,22.30519,114.162211
'Sham Shui Po',22.329941,114.166369
'Sham Shui Po',22.33097,114.161609
'Sham Shui Po',22.334497,114.160703
'Sham Shui Po',22.331314,114.164851
'Sham Shui Po',22.33218,114.163201
'Sham Shui Po',22.329942,114.16263
'Sham Shui Po',22.3309,114.163466
'Sham Shui Po',22.328004,114.160819
'Sham Shui Po',22.329588,114.163289
'Sham Shui Po',22.330817,114.165928
'Sham Shui Po',22.332376,114.156141
'Sham Shui Po',22.332751,114.162375
'Sham Shui Po',22.330632,114.160286
'Sham Shui Po',22.329886,114.161241
'Sham Shui Po',22.326297,114.166392
'Sham Shui Po',22.333267,114.166534
'Sham Shui Po',22.331964,114.161985
'Sham Shui Po',22.332502,114.16133
'Sham Shui Po',22.328529,114.16551
'Sham Shui Po',22.338717,114.156201
'Sham Shui Po',22.336516,114.160792
'Sham Shui Po',22.326651,114.168018
'Sham Shui Po',22.331658,114.163318
'Sham Shui Po',22.3268,114.15705
'Sham Shui Po',22.326006,114.16349
'Sham Shui Po',22.32831,114.16121
'Sham Shui Po',22.329655,114.159472
'Sham Shui Po',22.336072,114.159704
'Sham Shui Po',22.331003,114.161832
'Sham Shui Po',22.331018,114.15982
'Sham Shui Po',22.327663,114.152938
'Sham Shui Po',22.327668,114.152992
'Sham Shui Po',22.327316,114.153083
'Sham Shui Po',22.331062,114.161832
'Wan Chai',22.279269,114.176401
'Wan Chai',22.278251,114.179954
'Wan Chai',22.277405,114.179939
'Wan Chai',22.275318,114.172474
'Wan Chai',22.279276,114.179815
'Wan Chai',22.281093,114.175612
'Wan Chai',22.276796,114.17667
'Wan Chai',22.277629,114.178443
'Wan Chai',22.276965,114.168713
'Wan Chai',22.278701,114.171969
'Wan Chai',22.274132,114.174181
'Wan Chai',22.277452,114.176582
'Wan Chai',22.277167,114.170462
'Wan Chai',22.277256,114.174868
'Wan Chai',22.276955,114.173609
'Wan Chai',22.277541,114.172033
'Wan Chai',22.278617,114.178189
'Wan Chai',22.279094,114.179861
'Wan Chai',22.278197,114.173218
'Wan Chai',22.27801,114.170549
'Wan Chai',22.277944,114.171059
'Wan Chai',22.279717,114.173065
'Wan Chai',22.280459,114.176802
'Wan Chai',22.277186,114.177585
'Wan Chai',22.281036,114.174868
'Wan Chai',22.276071,114.170356
'Wan Chai',22.278099,114.17622
'Fo Tan',22.397388,114.196139
'Fo Tan',22.394833,114.198026
'Fo Tan',22.395818,114.198589
'Ngau Tau Kok',22.316778,114.21662
'Ngau Tau Kok',22.329559,114.213363
'Ngau Tau Kok',22.321644,114.220026
'Ngau Tau Kok',22.31612,114.219128
'Ngau Tau Kok',22.315329,114.220495
'Ngau Tau Kok',22.320805,114.21972
'Ngau Tau Kok',22.327425,114.21678
