@relation mergedData

@attribute District {'The Peak','Wan Chai','Yau Tsim Mong','Sai Kung','Kowloon City','Kwun Tong','Central And Western',Eastern,'Tai Po','Tuen Mun','Sha Tin','Sham Shui Po',Southern,'Tsuen Wan','Kwai Tsing','North Point','Wong Tai Sin',Islands,'Yuen Long','Central & Western','Tung Lung Fort Special Area','Lantau South Country Park','Plover Cove Country Park','Sai Kung East Country Park','Pat Sin Leng Country Park','Ma On Shan Country Park','Sai Kung West Country Park','Plover Cove (extension) Country Park','Tai Lam Country Park','Sai Kung West Country Park (wan Tsai Extension)','Shing Mun Country Park','Lantau North Country Park','Tai Mo Shan Country Park','Tai Tam Country Park','Kam Shan Country Park','Lion Rock Country Park','Aberdeen Country Park','Tai Tam Country Park (quarry Bay Extension)','Clear Warer Bay Country Park','Tseung Kwan O','Discovery Bay',Aberdeen,Airport,'Sai Ying Pun','Ma On Shan','Lamma Island','Cheung Sha Wan','Tsim Sha Tsui','Kwai Chung',Central,'Shau Kei Wan','Sheung Shui','Peng Chau','Kowloon Central','Wah Fu','Mui Wo','Hong Kong East','Cheung Chau','Kowloon East','Sheung Wan','Kowloon Tong','Kowloon Bay',Jordan,Homantin,Mid-Level,'To Kwa Wan','Tai Wai',University,'Lantau Island','Tai Kok Tsui','Tin Shui Wai','Tai Koo Shing','Prince Edward','Siu Sai Wan','Tsim Sha Tsui East','Choi Hung','Tsz Wan Shan','San Po Kong','Mong Kok','Tung Chung','Chai Wan','Lok Fu',Shatin,'Yau Tong',Yaumatei,'Fo Tan','Ngau Tau Kok','Shek Kip Mei','Sau Mau Ping',Fanling,'Hung Hom','Lo Wu','Mei Foo','Lai Chi Kok','Lok Ma Chau','Lam Tin','Sai Wan Ho',Western,'Happy Valley',Admiralty,'Causeway Bay','Diamond Hill','Tsing Yi','Quarry Bay','Ap Lei Chau'}
@attribute Lat numeric
@attribute Lng numeric

@data
'Kowloon City',22.33275,114.197757
'North Point',22.505297,114.129223
Eastern,22.291348,114.205462
'Wan Chai',22.27962,114.173003
'North Point',22.496525,114.138849
'Kwai Tsing',22.35629,114.108182
'Kowloon City',22.318849,114.190123
'Yau Tsim Mong',22.309195,114.17043
'Tai Po',22.447297,114.174203
Eastern,22.265363,114.234228
'North Point',22.50625,114.130368
'Tuen Mun',22.406466,113.969086
Islands,22.2905,113.943847
'Tsuen Wan',22.374767,114.124267
'Sai Kung',22.382234,114.272327
'Tsuen Wan',22.374637,114.115091
'Kwai Tsing',22.370599,114.138619
'Yuen Long',22.465744,114.000643
'Yuen Long',22.445741,114.010195
'Kwun Tong',22.312638,114.229516
'Kwai Tsing',22.373937,114.136536
'Tuen Mun',22.376874,113.968694
'Yau Tsim Mong',22.309439,114.170964
'Kwun Tong',22.307614,114.223788
'Yuen Long',22.447379,114.004737
'North Point',22.500139,114.144759
'Kowloon City',22.32522,114.185263
'Tsuen Wan',22.370514,114.1156
'Sham Shui Po',22.329243,114.16113
'Wan Chai',22.275466,114.183075
'Kowloon City',22.332385,114.183564
'Central And Western',22.285942,114.14084
'Sha Tin',22.388066,114.194824
'Central And Western',22.277344,114.159292
'Sai Kung',22.38308,114.27125
Southern,22.250503,114.156941
'Central And Western',22.279927,114.162834
'Yuen Long',22.443063,114.033031
'Central And Western',22.286605,114.155001
'Wong Tai Sin',22.334467,114.209497
'Sham Shui Po',22.33729,114.169963
'Sham Shui Po',22.33598,114.166565
'Tsuen Wan',22.374276,114.115586
'Wong Tai Sin',22.339761,114.207728
'Sha Tin',22.382477,114.201528
Islands,22.2892,113.939343
'Kowloon City',22.330184,114.189052
'Wan Chai',22.278437,114.18028
'Central And Western',22.290174,114.143493
'Central And Western',22.286352,114.14511
Southern,22.228703,114.250694
'Kwai Tsing',22.360787,114.125333
'Wong Tai Sin',22.343779,114.20355
